Tanggal,Tweets,ID,Screen Name,Banyak Retweet,Source,Retweet Status,Hashtags;;;;;;;
2021-05-12 23:00:00,b'Pemberian Bansos secara langsung akan menjadi bukti kehadiran negara ditengah masyarakat\n#DukungKebaikanUntukNKRI https://t.co/HKe8ldIl2g',1392615572060340228,Vikavik81617927,0,Twitter Web App,0,['DukungKebaikanUntukNKRI'];;;;;;;
2021-05-12 23:00:00,b'Pemberian bansos secara langsung jadi bukti kehadiran #DukungKebaikanUntukNKRI https://t.co/Nc72tKreMC',1392615571745775619,Bunga0205,0,Twitter Web App,0,['DukungKebaikanUntukNKRI'];;;;;;;
2021-05-12 22:53:52,b'@CNNIndonesia Setan2 korupsi bansos malah dikasih perlindungan',1392614026786471936,Perfect_Laster,0,Twitter Web App,0,[];;;;;;;
2021-05-12 22:51:10,b'Nyata akhirnya Janji Pak @jokowi penguatan ??? Berani tangkap Madam Bansos n Koruptor PECAT.\n#BeraniJujurPecat \n\nAlangkah Lucunya negeri ini. https://t.co/MNhzfbgtdI',1392613348152254465,simobawa,0,Twitter for Android,0,['BeraniJujurPecat'];;;;;;;
2021-05-12 22:46:58,b'@CNNIndonesia Insentif nakes susah tapi dana bansos berlimpah ruah buat.......',1392612290671697920,alfa_zem,0,Twitter for Android,0,[];;;;;;;
2021-05-12 22:46:27,b'RT @febridiansyah: Jadi gini..\nOTT kasus besar yg msh selamatkan muka KPK pasca Revisi UU &amp; Pimpinan baru trnyata ditangani Penyelidik/Peny\xe2\x80\xa6',1392612160052678659,diponegros,2780,Twitter for Android,1,[];;;;;;
2021-05-12 22:45:51,b'@ZHARAF8 @TheKopRossonero @ulil Itu mah imajinasi..... Imajinasi penikmat korupsi BANSOS',1392612010001453056,ICHANKsrg2,0,Twitter for Android,0,[];;;;;;;
2021-05-12 22:40:23,b'@txtdrpemerintah Bansos aja ditilep.. apalagi.. hmmmm',1392610636161445895,fadhilahazis,0,Twitter for iPhone,0,[];;;;;;;
2021-05-12 22:37:19,b'RT @Djoked2: Ngabalin otaknya malah ada di anusnya. KPK kudu periksa Ngabalin duit korupsi Bansos yg disembunyikan di pantatnya. Qi qi qi.\xe2\x80\xa6',1392609862853427200,ABudima68828545,137,Twitter for Android,1,[];;;;;;;
2021-05-12 22:33:02,b'RT @febridiansyah: Jadi gini..\nOTT kasus besar yg msh selamatkan muka KPK pasca Revisi UU &amp; Pimpinan baru trnyata ditangani Penyelidik/Peny\xe2\x80\xa6',1392608785252765697,MACPHISTOISME,2780,Twitter for Android,1,[];;;;;;
2021-05-12 22:27:36,b'RT @Djoked2: Ngabalin otaknya malah ada di anusnya. KPK kudu periksa Ngabalin duit korupsi Bansos yg disembunyikan di pantatnya. Qi qi qi.\xe2\x80\xa6',1392607419570692099,DjafarHasny3,137,Twitter for Android,1,[];;;;;;;
2021-05-12 22:27:21,b'RT @febridiansyah: Jadi gini..\nOTT kasus besar yg msh selamatkan muka KPK pasca Revisi UU &amp; Pimpinan baru trnyata ditangani Penyelidik/Peny\xe2\x80\xa6',1392607354697355265,DoyanMusik4,2780,Twitter Web App,1,[];;;;;;
2021-05-12 22:26:55,b'RT @febridiansyah: Jadi gini..\nOTT kasus besar yg msh selamatkan muka KPK pasca Revisi UU &amp; Pimpinan baru trnyata ditangani Penyelidik/Peny\xe2\x80\xa6',1392607245976834051,Mrnug881,2780,Twitter Web App,1,[];;;;;;
2021-05-12 22:25:19,b'RT @febridiansyah: Jadi gini..\nOTT kasus besar yg msh selamatkan muka KPK pasca Revisi UU &amp; Pimpinan baru trnyata ditangani Penyelidik/Peny\xe2\x80\xa6',1392606843785023491,jvdas_iskariot,2780,Twitter for iPhone,1,[];;;;;;
