Tanggal,Tweets,ID,Screen Name,Banyak Retweet,Source,Retweet Status,Hashtags;
"2021-05-08 23:26:33,""b'RT @SaveMoslem1: Haji Munarman mengkritik keras korupsi dana bansos oleh PDIP ini, dan akhirnya kini beliau ditangkap dan ditahan dgn dalih\xe2\x80\xa6'"",1391172702593974272,KurniaChen,215,Twitter for Android,1,[]";
"2021-05-08 23:26:18,""b'RT @SaveMoslem1: Haji Munarman mengkritik keras korupsi dana bansos oleh PDIP ini, dan akhirnya kini beliau ditangkap dan ditahan dgn dalih\xe2\x80\xa6'"",1391172637250899970,Udingaok81,215,Twitter for Android,1,[]";
"2021-05-08 23:22:14,""b'RT @SaveMoslem1: Haji Munarman mengkritik keras korupsi dana bansos oleh PDIP ini, dan akhirnya kini beliau ditangkap dan ditahan dgn dalih\xe2\x80\xa6'"",1391171614054633472,ajenar,215,Twitter Web App,1,[]";
"2021-05-08 23:21:36,""b'@alisyarief Pengaburan, pembiasan, penyesatan untuk menarik simpati Non-Muslim. Sy yg Non-Muslim aja geram dan marah liat (pidato) itu, Pak. Sulit utk menumpulkan logika bahwa (pidato) itu cari muka &amp";" jilat ke minority. Apalg ke oligark. Isu kpk, bansos, km50, resesi ekonomi dll tergeser.'"",1391171456277483521,ErickConstant14,9,Twitter for Android,0,[]"
"2021-05-08 23:21:33,b'@republikaonline BERSAMA MEMATIKAN MIC\n\nBERSAMA KORUPSI\n\nBERSAMA TIKUS BANSOS\n\nBERSAMA HARUN MESIKU\n\nBERSAMA MEMERAS PANCASILA\n\n#PresidenHobiBipang \n#PresidenHobiBipang',1391171444290248713,Muslim_AntiPKI,5,Twitter for Android,0,""['PresidenHobiBipang', 'PresidenHobiBipang']""";
"2021-05-08 23:19:57,""b'RT @SaveMoslem1: Haji Munarman mengkritik keras korupsi dana bansos oleh PDIP ini, dan akhirnya kini beliau ditangkap dan ditahan dgn dalih\xe2\x80\xa6'"",1391171041091735552,IT19S20,215,Twitter for Android,1,[]";
2021-05-08 23:19:20,b'REKENING NAMA FIKTIF BANSOS PKH 21.156.000 TABUNGAN BRI DARI TAHUN 2017#2021 SEBESAR 542 TRILIUN BISA BIKIN TOL ACEH SAMPE LAMPUNG PLUS JEMBATAN SELAT SUNDA@ TARIF NYA BISA MURAH/SEMBAKO MURAH# PENGGERAK EKONOMI HIDUP$$ https://t.co/LAycJCELyw',1391170884090568706,H4P5i,0,Twitter Web App,0,[];
2021-05-08 23:17:44,b'RT @elisa_jkt: Bansos ditilep. \nInsentif nakes ditunda2. \n\nTapi pajak mobil tertentu tetap 0 dong. \nDan jangan lupa wisata ....',1391170482032967680,wpp_17,337,Twitter Web App,1,[];
"2021-05-08 23:16:41,""b'RT @SaveMoslem1: Haji Munarman mengkritik keras korupsi dana bansos oleh PDIP ini, dan akhirnya kini beliau ditangkap dan ditahan dgn dalih\xe2\x80\xa6'"",1391170220631285760,ayieyudhistira,215,Twitter for Android,1,[]";
"2021-05-08 23:16:24,""b'RT @SaveMoslem1: Haji Munarman mengkritik keras korupsi dana bansos oleh PDIP ini, dan akhirnya kini beliau ditangkap dan ditahan dgn dalih\xe2\x80\xa6'"",1391170149277855746,mustangidahumi1,215,Twitter for Android,1,[]";
