ID,Tweet
"1,3909E+18",bantu sosial cair mei program kartu sembako bantu pangan non-tunai bpnt xc xaprogram xc xakeluarga xc xaharapan xc xa pkh nsementara salur bansos tunai rp ribu jalan april n n
"1,3909E+18",bantu sosial cair mei program kartu sembako bantu pangan non-tunai bpnt xc xaprogram xc xakeluarga xc xaharapan xc xa pkh nsementara salur bansos tunai rp ribu jalan april n n n n
"1,3909E+18",bantu sosial cair mei program kartu sembako bantu pangan non-tunai xe x xa
"1,39096E+18",bawa bawa hambalang lo anti orang bilang korup bansos manusia aneh hambalang mah udah masuk bui si mas tuh ketemu sakti banget tuh orang
"1,39102E+18",bayangno ngguyu hadap nasabah bansos
"1,39102E+18",beda blt era krismon bansos era krismon n ngambar blt protes pdip krn didik rakyat t xe x xa
"1,391E+18",beda blt era krismon bansos era krismon n ngambar blt protes pdip krn didik rakyat tp sampe rakyat atas krismon ngambar bansos korupsi rakyat yg dampak gigit jari krismon parah n n xf xf x xb xf xf x xa
,beda kalo bukber sm temen w anjrit kaya terima dana bansos amp
"1,39096E+18",bendahara partai maling bansos neng bong kalo gitu xf xf xa xa xf xf xa xa
"1,39085E+18",bener perintah udah maksimal turut handle covid tp ya gitu bawah nyeleweng bansos tentu ekonomi gabisa lumpuh gabisa kayak eropa kudu lockdown total kek ya as simple as negara ga sanggup
"1,39089E+18",bentar hilang nama maling bansos hilang nama
"1,39101E+18",berani kpk sm madam bansos xf xf x x xf xf x xa xf xf x xb
"1,39093E+18",berani nggak ya
"1,39104E+18",beri bansos jalan sesuai mekanisme terap lockdown paham skala negara putus perintah pusat bantu daerah bansos jenis bantu samping tanggung penuh
"1,39086E+18",berita ya n datang wna china n kapal india rapat awak kapal positif covid n twk kpk janggal n rencana naik ppn maks n thr asn n korupsi bansos harun mas blm ketemu n beli babi panggang n survey cawapres
"1,3909E+18",berita yg bahas korupsi bansos asabri jiwasraya nilai raksasa
"1,39092E+18",beritapidiejaya nbansos jelang idul fitri hijriah serah camat terima delapan camat pidie jaya tepat rp n
