Tanggal,Tweets,ID,Screen Name,Banyak Retweet,Source,Retweet Status,Hashtags;;;
2021-05-09 23:55:57,b'RT @febridiansyah: Jadi gini..\nOTT kasus besar yg msh selamatkan muka KPK pasca Revisi UU &amp; Pimpinan baru trnyata ditangani Penyelidik/Peny\xe2\x80\xa6',1391542486573617153,Samfey8,2340,Twitter for Android,1,[];;
2021-05-09 23:55:51,b'RT @febridiansyah: Jadi gini..\nOTT kasus besar yg msh selamatkan muka KPK pasca Revisi UU &amp; Pimpinan baru trnyata ditangani Penyelidik/Peny\xe2\x80\xa6',1391542464251457536,yogiderechter,2340,Twitter Web App,1,[];;
2021-05-09 23:55:48,b'RT @xosantoz: @henrysubiakto Apakah ini yg dimaksud Kriteria merusak NKRI prof..?? :\n\n1. Korupsi Bansos dll\n2. Hutang ugal2an\n3. Biasa ingk\xe2\x80\xa6',1391542451496648705,syarifptk,298,Twitter for Android,1,[];;;
2021-05-09 23:55:14,b'RT @febridiansyah: Jadi gini..\nOTT kasus besar yg msh selamatkan muka KPK pasca Revisi UU &amp; Pimpinan baru trnyata ditangani Penyelidik/Peny\xe2\x80\xa6',1391542307745263617,ip_supriyadi,2340,Twitter for Android,1,[];;
2021-05-09 23:55:06,b'RT @febridiansyah: Jadi gini..\nOTT kasus besar yg msh selamatkan muka KPK pasca Revisi UU &amp; Pimpinan baru trnyata ditangani Penyelidik/Peny\xe2\x80\xa6',1391542274224320519,DarmadiAktivize,2340,Twitter for Android,1,[];;
2021-05-09 23:55:04,b'RT @febridiansyah: Jadi gini..\nOTT kasus besar yg msh selamatkan muka KPK pasca Revisi UU &amp; Pimpinan baru trnyata ditangani Penyelidik/Peny\xe2\x80\xa6',1391542264740990976,Mulyadi86592385,2340,Twitter for Android,1,[];;
2021-05-09 23:54:39,b'RT @febridiansyah: Jadi gini..\nOTT kasus besar yg msh selamatkan muka KPK pasca Revisi UU &amp; Pimpinan baru trnyata ditangani Penyelidik/Peny\xe2\x80\xa6',1391542160445513729,AtmokoWa,2340,Twitter for Android,1,[];;
2021-05-09 23:54:37,b'RT @febridiansyah: Jadi gini..\nOTT kasus besar yg msh selamatkan muka KPK pasca Revisi UU &amp; Pimpinan baru trnyata ditangani Penyelidik/Peny\xe2\x80\xa6',1391542150802771968,giripuji,2340,Twitter for Android,1,[];;
2021-05-09 23:54:08,b'RT @febridiansyah: Jadi gini..\nOTT kasus besar yg msh selamatkan muka KPK pasca Revisi UU &amp; Pimpinan baru trnyata ditangani Penyelidik/Peny\xe2\x80\xa6',1391542030845636608,Danannnk,2340,Twitter for Android,1,[];;
2021-05-09 23:54:06,b'RT @febridiansyah: Jadi gini..\nOTT kasus besar yg msh selamatkan muka KPK pasca Revisi UU &amp; Pimpinan baru trnyata ditangani Penyelidik/Peny\xe2\x80\xa6',1391542022964604931,Ozimad,2340,Twitter for Android,1,[];;
2021-05-09 23:54:02,b'RT @febridiansyah: Jadi gini..\nOTT kasus besar yg msh selamatkan muka KPK pasca Revisi UU &amp; Pimpinan baru trnyata ditangani Penyelidik/Peny\xe2\x80\xa6',1391542004681641984,ArifinNaftalia,2340,Twitter for iPhone,1,[];;
2021-05-09 23:54:01,b'RT @febridiansyah: Jadi gini..\nOTT kasus besar yg msh selamatkan muka KPK pasca Revisi UU &amp; Pimpinan baru trnyata ditangani Penyelidik/Peny\xe2\x80\xa6',1391542000692850688,bamplaza,2340,Twitter for Android,1,[];;
2021-05-09 23:52:42,b'RT @febridiansyah: Jadi gini..\nOTT kasus besar yg msh selamatkan muka KPK pasca Revisi UU &amp; Pimpinan baru trnyata ditangani Penyelidik/Peny\xe2\x80\xa6',1391541671339302912,BralingIwan,2340,Twitter for Android,1,[];;
2021-05-09 23:52:33,b'RT @febridiansyah: Jadi gini..\nOTT kasus besar yg msh selamatkan muka KPK pasca Revisi UU &amp; Pimpinan baru trnyata ditangani Penyelidik/Peny\xe2\x80\xa6',1391541634731429890,buya_wafi,2340,Twitter for Android,1,[];;
