Tanggal;Banyak Retweet;Tweet
05/05/2021 01:55;5.0;apbn peran sentral pulih ekonomi nasional cermin kerja apbn 2021 pada kuartal i realisasi bel
05/05/2021 01:57;32.0;janji ngatur korupsi bansos korup
05/05/2021 02:04;0.0;korupsi 2 tuju politik korupsi bansos partai ideologi ideologi koruptor pancasila keluarga koruptor dampak korupsi tidak timbul takut koruptor hina teroris alamat opm
05/05/2021 02:04;0.0;kurang nyelewengin dana bansos hukum mati hemmm hemm heemm
05/05/2021 02:09;25.0;tes bangsa variabel sok hak sendiri padahal korup bansos embat
05/05/2021 02:11;0.0;didieu nagara kongo mh dana bansos ge di korup emang negara jahanam hahahah
05/05/2021 02:11;0.0;kerja perintah urus bansos
05/05/2021 02:13;0.0;halah dki mulu kamu 2 seperti bansos jiwasraya asabri tj balai e ktapi kamu hanya benci sama anies tapi lihat jahat 2 koruptor senang iya dul
05/05/2021 02:14;0.0;ops yustisi salur paket bansos
05/05/2021 02:14;1.0;dijadiin komisi selamat koruptor kynya nie misi selamat madam bansos kroni
05/05/2021 02:14;0.0;maling bansos usak negara maling ayam maling malu jangan koruptor a l i n g
05/05/2021 02:15;0.0;lucu bilang skandal korupsi bansos hahhahaaa masakan suap suap helowww terus mata lebih bayar damkar bayar bisa warung hitam 6000 meter 580 juta untuk 200 meter hahhaaa
05/05/2021 02:16;0.0;uang korupsi bansos copid di pake karokean tim kemensos
05/05/2021 02:17;0.0;bri ngotak asli sudah seperti sembako mungkin rame karena bansos perintah umkm bri
05/05/2021 02:17;19.0;suku anak tagih janji risma bansos pks patah hati
05/05/2021 02:18;0.0;cek online daftar terima blt umkm banpres bpum bri bni banpres blt bansos bpum
05/05/2021 02:18;0.0;madam bansos aman ini min
05/05/2021 02:19;0.0;kenal harun masiku madam bansos
05/05/2021 02:20;0.0;sebenernya korup dana bansos tuju mulia ya rul tidak cipta klaster
05/05/2021 02:24;0.0;netizen bantu bansos mnt pecat
05/05/2021 02:25;;yang terhormat tiga  
05/05/2021 02:27;0.0;temu bos bumiputera nasabah janji klaim cair november 2020sesemoga cepet selesai jiwasraya bansos bpjs bakrie life kresna life
05/05/2021 02:28;0.0;koruptor bansos selamat cebong gembira ria
05/05/2021 02:29;0.0;dakwa harry van sidabukke direktur pt pilar agro ardi idkandar maddanatja
05/05/2021 02:29;0.0;ingat pandemi lockdown total wna bansos ngecover rakyat korupsi besar hmmm
05/05/2021 02:30;1.0;ngomongin data statistik diketawain bansos sama alat rapid bekas noh
05/05/2021 02:30;1.0;duka cita mati demokrasi kpk tidak bosan kritisi uu revisi kpk koruptorcontohnya simple korupsi blbi korupsi bansos gimana kabar
05/05/2021 02:30;1.0;duka cita mati demokrasi kpk tidak bosan kritisi uu revisi k
05/05/2021 02:33;0.0;bersih kuruptor pesta pora kuruptor bansos selamat
