Tanggal,Tweets,ID,Screen Name,Banyak Retweet,Source,Retweet Status,Hashtags
2021-05-05 17:17:25,"b'RT @SOFTLILBR4T: @tubirfess Bansos jg nga merata dan kebanyakan suka salah sasaran, dr tahun lalu smpe skrg keluarga gue nga dpt bantuan ba\xe2\x80\xa6'",1389992640687480833,wooahyunc,21,Twitter for Android,1,[]
2021-05-05 17:16:18,"b'RT @BudiSetyarso: Para penyidik yg membongkar kasus korupsi kakap spt e-KTP, simulator SIM, ekspor benur, jg bansos tak bs jd ASN krn tdk l\xe2\x80\xa6'",1389992362114383875,XXX_SamURay63,3332,Twitter for Android,1,[]
2021-05-05 17:15:19,"b'RT @BudiSetyarso: Para penyidik yg membongkar kasus korupsi kakap spt e-KTP, simulator SIM, ekspor benur, jg bansos tak bs jd ASN krn tdk l\xe2\x80\xa6'",1389992115493507072,promildxx,3332,Twitter for Android,1,[]
2021-05-05 17:13:06,"b'RT @BudiSetyarso: Para penyidik yg membongkar kasus korupsi kakap spt e-KTP, simulator SIM, ekspor benur, jg bansos tak bs jd ASN krn tdk l\xe2\x80\xa6'",1389991554815717377,Bothol2,3332,Twitter for Android,1,[]
2021-05-05 17:12:17,b'RT @Ndons_Back: Weww \n\nUang Hasil Korupsi Bansos Covid Juga Dipakai Karaokean Tim di Kemensos - VICE https://t.co/5bKdKvGUhg',1389991350968348673,KavindraOemar,266,Twitter for Android,1,[]
2021-05-05 17:12:13,"b'RT @RamliRizal: Menurut Mbak Risma ke KPK, data 21 juta penerima Bansos bodong atau fiktif. Ternyata perusahaan2 penyalur Bansos juga banya\xe2\x80\xa6'",1389991332450426885,jaga_negeri,489,Twitter for Android,1,[]
2021-05-05 17:12:01,b'RT @panca66: Perusahaan penyedia paket bansos ternyata banyak fiktif. Keterlaluan emang pelaku korupsi bansos ini. Udah nyikat komisi dari\xe2\x80\xa6',1389991284316655619,papatanjung,1730,Twitter for Android,1,[]
2021-05-05 17:11:42,b'RT @geloraco: Rizal Ramli Minta Firli Bahuri Bongkar 21 Juta Data Ganda Penerima Bansos Dan Penyalur Abal-Abal\nhttps://t.co/QfJwuFkvn6',1389991204633251841,Kobar_Baru,50,Twitter for Android,1,[]
2021-05-05 17:11:18,"b'RT @r0ckinray: @el_nonymous gw pernah homestay di rumah councilman oz.\n\ntrus punya temen putri congressman US\n\nbahas korupsi, kata mereka s\xe2\x80\xa6'",1389991102854230016,ratnaepw,3,Twitter for Android,1,[]
2021-05-05 17:11:07,b'RT @Ndons_Back: Weww \n\nUang Hasil Korupsi Bansos Covid Juga Dipakai Karaokean Tim di Kemensos - VICE https://t.co/5bKdKvGUhg',1389991057601875971,zamnurjaman66,266,Twitter for Android,1,[]
2021-05-05 17:10:17,b'RT @Ndons_Back: Weww \n\nUang Hasil Korupsi Bansos Covid Juga Dipakai Karaokean Tim di Kemensos - VICE https://t.co/5bKdKvGUhg',1389990847245029377,Kobar_Baru,266,Twitter for Android,1,[]
2021-05-05 17:09:02,"b'@mantapanjir @OHMYV3NUS @txtdrpemerintah Ga nyalahin semua kok, tapi nyalahin emang yang bener2 salah. Kayak korupsi bansos, dan sebagainya. Kayaknya juga kalo kemendikbud buat kebijakan, saya sih percaya itu adalah hal yang baik dan mungkin terbaik di kondisi yang ga pasti ini'",1389990530998628354,urblanket00,0,Twitter for Android,0,[]
