Tanggal,Tweets,ID,Screen Name,Banyak Retweet,Source,Retweet Status,Hashtags
2021-05-19 23:56:21,b'@Dennysiregar7 Maling BANSOS diem',1395166467822219267,Muhamma02280434,0,Twitter for Android,0,[]
2021-05-19 23:56:08,"b'RT @HisyamMochtar: Lama2 koq jadi mikir, jangan2 kegaduhan beruntun itu emang by design. Tau sendirilah, heboh bipang saja belum benar2 red\xe2\x80\xa6'",1395166414244245505,fmuhamady,1026,Twitter for Android,1,[]
2021-05-19 23:55:55,b'RT @kurawa: Ini kesimpulan gue :\n\n1. Gue mengutuk keras korupsi Bansos semoga gak selamat dunia akhirat.\n2. Novel sdh offside dia sbg penyi\xe2\x80\xa6',1395166359911223297,budidiep,778,Twitter for Android,1,[]
2021-05-19 23:55:50,"b'RT @HisyamMochtar: Lama2 koq jadi mikir, jangan2 kegaduhan beruntun itu emang by design. Tau sendirilah, heboh bipang saja belum benar2 red\xe2\x80\xa6'",1395166338008551432,tika_amrullah,1026,Twitter for Android,1,[]
2021-05-19 23:55:44,b'RT @kurawa: Ini kesimpulan gue :\n\n1. Gue mengutuk keras korupsi Bansos semoga gak selamat dunia akhirat.\n2. Novel sdh offside dia sbg penyi\xe2\x80\xa6',1395166312859533312,GmMulyadi,778,Twitter for Android,1,[]
2021-05-19 23:55:42,b'RT @kurawa: Ini kesimpulan gue :\n\n1. Gue mengutuk keras korupsi Bansos semoga gak selamat dunia akhirat.\n2. Novel sdh offside dia sbg penyi\xe2\x80\xa6',1395166306148646916,ReeEzzZ25,778,Twitter for Android,1,[]
2021-05-19 23:55:40,b'RT @kurawa: Ini kesimpulan gue :\n\n1. Gue mengutuk keras korupsi Bansos semoga gak selamat dunia akhirat.\n2. Novel sdh offside dia sbg penyi\xe2\x80\xa6',1395166295771865094,LKman007,778,Twitter for Android,1,[]
2021-05-19 23:55:32,b'RT @kurawa: Ini kesimpulan gue :\n\n1. Gue mengutuk keras korupsi Bansos semoga gak selamat dunia akhirat.\n2. Novel sdh offside dia sbg penyi\xe2\x80\xa6',1395166261827432452,manonotmilea,778,Twitter for Android,1,[]
2021-05-19 23:55:27,b'RT @kurawa: Ini kesimpulan gue :\n\n1. Gue mengutuk keras korupsi Bansos semoga gak selamat dunia akhirat.\n2. Novel sdh offside dia sbg penyi\xe2\x80\xa6',1395166240809705474,IstiantoBayu,778,Twitter for Android,1,[]
2021-05-19 23:55:10,b'RT @kurawa: Ini kesimpulan gue :\n\n1. Gue mengutuk keras korupsi Bansos semoga gak selamat dunia akhirat.\n2. Novel sdh offside dia sbg penyi\xe2\x80\xa6',1395166171226271744,rohman377,778,Twitter for Android,1,[]
2021-05-19 23:55:04,b'@CNNIndonesia Korupsi bansos????? \xf0\x9f\x98\x83\xf0\x9f\x98\x83',1395166143124439041,5VUgTECVDkvIPu1,0,Twitter for Android,0,[]
2021-05-19 23:54:58,b'RT @msaid_didu: Malam ini ketemu mas Novel @nazaqistsha - angka korupsi bansos Rp 100 trilyun memang menarik https://t.co/0kteq5OsMo',1395166117673373697,isra_miraz,2817,Twitter for Android,1,[]
2021-05-19 23:54:56,b'RT @iwanpiliang7: Rp 100 T dana bansos dikorup.\n\nRp 1.000 T lebih setahun transfer pricing tak diurus.\n\nSitu mau naikkan PPN?\n\nBBM tak turu\xe2\x80\xa6',1395166111805501441,Rini39959884,181,Twitter for Android,1,[]
2021-05-19 23:54:43,b'RT @kurawa: Ini kesimpulan gue :\n\n1. Gue mengutuk keras korupsi Bansos semoga gak selamat dunia akhirat.\n2. Novel sdh offside dia sbg penyi\xe2\x80\xa6',1395166055828398086,GitaNaya,778,Twitter for Android,1,[]
2021-05-19 23:54:37,b'RT @kurawa: Ini kesimpulan gue :\n\n1. Gue mengutuk keras korupsi Bansos semoga gak selamat dunia akhirat.\n2. Novel sdh offside dia sbg penyi\xe2\x80\xa6',1395166030419271682,ferascorp,778,Twitter for Android,1,[]
2021-05-19 23:54:21,"b'RT @cholilnafis: Klo Palestina bukan urusan kita, lalu yg mana yg urusan kita?\n\nMari kita urus juga soal korupsi Bansos yg triliunan itu. J\xe2\x80\xa6'",1395165962681282560,PungPurwanto,85,Twitter for Android,1,[]
2021-05-19 23:54:16,b'RT @detikcom: Sebanyak 68 paket Bansos bagi pemutus rantai COVID-19 di Bojonegoro dikembalikan. Mengapa demikian? https://t.co/0keYiy2kuN',1395165944486395909,88_anang,4,Twitter for Android,1,[]
2021-05-19 23:54:13,b'Ini kesimpulan gue :\n\n1. Gue mengutuk keras korupsi Bansos semoga gak selamat dunia akhirat.\n2. Novel sdh offside dia sbg penyidik KPK mengungkapkan pendapatnya diluar ranah hukum.\n3. 14 tahun jadi penyidik sdh saatnya di rotasi/mutasi ini penerapan Good Governance \n\nAyo Debat? https://t.co/g2qEXexewg',1395165929412063237,kurawa,778,Twitter for Android,0,[]
2021-05-19 23:54:09,b'RT @SINDOnews: Kubu Juliari Sebut Uang Suap Bansos Covid-19 Hanya Mengalir ke 2 Pejabat Kemensos\n\nhttps://t.co/g5IP0ueYbT',1395165915994419200,DerryHaidir,6,Twitter for Android,1,[]
2021-05-19 23:53:47,"b'@geloraco E-KTP, bansos, Jiwasraya, Asabri'",1395165820519522306,sugito43334255,0,Twitter for Android,0,[]
2021-05-19 23:53:33,b'RT @MardaniAliSera: MEGA KORUPSI INDONESIA\n1. Bansos\n2. Kondensat: 35 T\n3. Asabri: 23.7 T\n4. BPJS Tenaga Kerja : 20 T\n5. Jiwasraya: 16.8 T\xe2\x80\xa6',1395165764693360642,gumilar501,2154,Twitter for Android,1,[]
2021-05-19 23:53:07,"b'RT @RamliRizal: DR. Bima Yudhistira:\n""Korupsi Bansos Rp100 T, Ekonom Sebut Skandal Terburuk Sejak 1945"".\nPantes Banyak Pejabat ketakutan se\xe2\x80\xa6'",1395165653460418560,Kenzo_Hamtaro,1193,Twitter Web App,1,[]
2021-05-19 23:53:04,b'RT @iwanpiliang7: Soal Propinsi Padang itu indikasi tajam saya  ihwal acuan AI saja.\n\nKalian viralkan ya yg untung yg membunyikan.\n\nFokus a\xe2\x80\xa6',1395165639367528450,BengkalisSutan,11,Twitter for Android,1,[]
2021-05-19 23:52:54,"b'RT @HisyamMochtar: Lama2 koq jadi mikir, jangan2 kegaduhan beruntun itu emang by design. Tau sendirilah, heboh bipang saja belum benar2 red\xe2\x80\xa6'",1395165599051907073,FAntasanusa,1026,Twitter for Android,1,[]
2021-05-19 23:52:30,"b'RT @democrazymedia: Usai \'Diselamatkan\' Jokowi, Novel Baswedan Langsung Bongkar Korupsi Bansos Rp100 T, Aktivis Singgung ""Oma Banteng""\nhttp\xe2\x80\xa6'",1395165500481576960,shm_77,679,Twitter Web App,1,[]
2021-05-19 23:52:27,"b'RT @rmol_id: Di Sidang Kasus Bansos, Jaksa KPK Ungkap Transfer Uang Rp 1 M Dari Office Boy Kemensos Ke Rekening Sespri Juliari Batubara htt\xe2\x80\xa6'",1395165488146092032,sotunjea,335,Twitter Web App,1,[]
2021-05-19 23:52:22,"b'RT @RamliRizal: Isu Taliban di KPK, Rizal Ramli: Mereka Profesional dan Memiliki Etika Kerja yang Bagus. 8 orang Kristen  dan 1 Hindu dari\xe2\x80\xa6'",1395165464506998788,FirdausAbinaya,854,Twitter for Android,1,[]
2021-05-19 23:52:18,"b'@idtodayco hmmm.... bisa jadi dengan membiarkan TKA China masuk sebanyak2nya mungkin dapat menurunkan angka kemiskinan, ya kan...???\n1. Si miskin tertular covid dan mati\n2. Bansos di korup, si miskin kelaparan dan mati'",1395165447167778818,raja_bukan,0,Twitter Web App,0,[]
2021-05-19 23:52:06,"b'RT @NOTASLIMBOY: Gua coba-coba bikin paket sembako dengan budget pemerintah kmrn, utk dikasih ke tukang ojek. Untuk 300rb, jadinya mewah ba\xe2\x80\xa6'",1395165397708525570,duumdada,3896,Twitter for Android,1,[]
2021-05-19 23:52:04,"b'RT @FirzaHusain: Novel Baswedan mencium korupsi bansos 100 T, tapi kog daya ciumnya kurang tajam ya terhadap DKI Jakarta ? \xf0\x9f\xa4\xad\xf0\x9f\xa4\xad\xf0\x9f\x98\x8a'",1395165390997659649,LaskarNKRI_024,121,Twitter for Android,1,[]
2021-05-19 23:51:45,"b'RT @RamliRizal: DR. Bima Yudhistira:\n""Korupsi Bansos Rp100 T, Ekonom Sebut Skandal Terburuk Sejak 1945"".\nPantes Banyak Pejabat ketakutan se\xe2\x80\xa6'",1395165311159005186,manager_54m,1193,Twitter for Android,1,[]
2021-05-19 23:51:40,b'BANSOS EMAK GUA ILANG GAES INI YANG MAKAN RUPANYA https://t.co/rDEX5InVTx',1395165288098717697,dodaeyeo,0,Twitter for Android,0,[]
2021-05-19 23:51:38,"b'RT @keuangannews_id: Muslim Arbi: Bongkar Korupsi Bansos 100 T, Novel Baswedan dapat Menjadi Target\xc2\xa0Pembunuhan https://t.co/EhgKtvx1qZ'",1395165281291431942,Respati53265413,497,Twitter Web App,1,[]
2021-05-19 23:51:37,"b'RT @soeyoto1: Enak bener mereka mem-bagi2kan duit KORUPSI BANSOS,\nkonon Menteri yg juga Kader Partai yg berkuasa ini terlahir dari keluarga\xe2\x80\xa6'",1395165276556062721,mudjib_trisatya,328,Twitter for Android,1,[]
2021-05-19 23:51:30,"b'RT @RamliRizal: Isu Taliban di KPK, Rizal Ramli: Mereka Profesional dan Memiliki Etika Kerja yang Bagus. 8 orang Kristen  dan 1 Hindu dari\xe2\x80\xa6'",1395165247623729156,Bio626,854,Twitter for Android,1,[]
2021-05-19 23:51:20,b'@JhonTra85321971 @sihenrys @nNajiajil69 @msaid_didu @nazaqistsha paling menguap....... dan kasus pun berhenti... sementara rakyatnya  sendiri ada yg ga mau kasus bansos ini trungkap..malah menjilat.... bagimana cara mikirnya nih!',1395165203390550018,Ipong__9eto,0,Twitter for Android,0,[]
2021-05-19 23:51:04,b'Sebanyak 68 paket Bansos bagi pemutus rantai COVID-19 di Bojonegoro dikembalikan. Mengapa demikian? https://t.co/0keYiy2kuN',1395165136109903877,detikcom,4,Echobox,0,[]
2021-05-19 23:51:00,"b'RT @RamliRizal: DR. Bima Yudhistira:\n""Korupsi Bansos Rp100 T, Ekonom Sebut Skandal Terburuk Sejak 1945"".\nPantes Banyak Pejabat ketakutan se\xe2\x80\xa6'",1395165123359039488,a_lworhoby,1193,Twitter for Android,1,[]
2021-05-19 23:50:59,"b'RT @HisyamMochtar: Lama2 koq jadi mikir, jangan2 kegaduhan beruntun itu emang by design. Tau sendirilah, heboh bipang saja belum benar2 red\xe2\x80\xa6'",1395165115436060675,anitamarlian2,1026,Twitter for Android,1,[]
2021-05-19 23:50:52,b'RT @MardaniAliSera: MEGA KORUPSI INDONESIA\n1. Bansos\n2. Kondensat: 35 T\n3. Asabri: 23.7 T\n4. BPJS Tenaga Kerja : 20 T\n5. Jiwasraya: 16.8 T\xe2\x80\xa6',1395165088286314498,BengkalisSutan,2154,Twitter for Android,1,[]
2021-05-19 23:50:44,"b'@ecosocrights @jokowi Ga punya duit, abis di bansos'",1395165054064988161,WidiadnyanaTias,0,Twitter for Android,0,[]
2021-05-19 23:50:37,b'RT @iwanpiliang7: Rp 100 T dana bansos dikorup.\n\nRp 1.000 T lebih setahun transfer pricing tak diurus.\n\nSitu mau naikkan PPN?\n\nBBM tak turu\xe2\x80\xa6',1395165026407763973,BengkalisSutan,181,Twitter for Android,1,[]
2021-05-19 23:50:30,"b'RT @keuangannews_id: Muslim Arbi: Bongkar Korupsi Bansos 100 T, Novel Baswedan dapat Menjadi Target\xc2\xa0Pembunuhan https://t.co/EhgKtvx1qZ'",1395164997253177344,WongWonogiri22,497,Twitter for Android,1,[]
2021-05-19 23:50:02,b'@MardaniAliSera No.1 bansos tapi tidak berani cantumkan nilai. \nDasar hombreng.\xf0\x9f\x98\x82\xf0\x9f\x98\x82\xf0\x9f\x98\x82',1395164878445236227,Dinsamaza,0,Twitter for Android,0,[]
2021-05-19 23:49:38,"b""@msaid_didu Korupsi bansos tu.. mencapai ratusan T.. jangan jangan do'i ikut nikmati..""",1395164775433211907,Dodot98520278,0,Twitter for Android,0,[]
2021-05-19 23:49:32,"b'RT @NOTASLIMBOY: Gua coba-coba bikin paket sembako dengan budget pemerintah kmrn, utk dikasih ke tukang ojek. Untuk 300rb, jadinya mewah ba\xe2\x80\xa6'",1395164752280621060,wiechuwii,3896,Twitter for Android,1,[]
2021-05-19 23:49:25,"b'RT @RamliRizal: Isu Taliban di KPK, Rizal Ramli: Mereka Profesional dan Memiliki Etika Kerja yang Bagus. 8 orang Kristen  dan 1 Hindu dari\xe2\x80\xa6'",1395164724032016386,Wak_Jhiwa,854,Twitter for Android,1,[]
2021-05-19 23:48:56,"b'RT @RamliRizal: Isu Taliban di KPK, Rizal Ramli: Mereka Profesional dan Memiliki Etika Kerja yang Bagus. 8 orang Kristen  dan 1 Hindu dari\xe2\x80\xa6'",1395164603097616385,tsupriyadi,854,Twitter for Android,1,[]
2021-05-19 23:48:14,"b'RT @keuangannews_id: Muslim Arbi: Bongkar Korupsi Bansos 100 T, Novel Baswedan dapat Menjadi Target\xc2\xa0Pembunuhan https://t.co/EhgKtvx1qZ'",1395164423921143808,latarterkemban4,497,Twitter Web App,1,[]
2021-05-19 23:48:05,"b'RT @soeyoto1: Enak bener mereka mem-bagi2kan duit KORUPSI BANSOS,\nkonon Menteri yg juga Kader Partai yg berkuasa ini terlahir dari keluarga\xe2\x80\xa6'",1395164388797997057,shm_77,328,Twitter Web App,1,[]
2021-05-19 23:48:04,b'@Dennysiregar7 Indahnya negeriku banyak koruptor bansos dan yang lainnya bebas melenggang',1395164383873888258,Rudis86835487,0,Twitter for Android,0,[]
2021-05-19 23:47:55,"b'RT @NOTASLIMBOY: Gua coba-coba bikin paket sembako dengan budget pemerintah kmrn, utk dikasih ke tukang ojek. Untuk 300rb, jadinya mewah ba\xe2\x80\xa6'",1395164345445666820,helosusi,3896,Twitter for iPhone,1,[]
2021-05-19 23:47:48,"b'RT @democrazymedia: Usai \'Diselamatkan\' Jokowi, Novel Baswedan Langsung Bongkar Korupsi Bansos Rp100 T, Aktivis Singgung ""Oma Banteng""\nhttp\xe2\x80\xa6'",1395164317792673793,omarnatakusuma,679,Twitter for Android,1,[]
2021-05-19 23:47:38,"b'RT @HisyamMochtar: Lama2 koq jadi mikir, jangan2 kegaduhan beruntun itu emang by design. Tau sendirilah, heboh bipang saja belum benar2 red\xe2\x80\xa6'",1395164273794437122,budibotak,1026,Twitter for Android,1,[]
2021-05-19 23:47:37,"b'Mari kita prioritaskan dan fokuskan ke masalah teroris Koruptor Dana Bansos, Jamsostek, Asabri dll dll dll....mari fokus ke masalah nasib kita dan hari depan anak cucu....monitor.... https://t.co/SqD9AqUd0p'",1395164270707363842,yaali71,0,Twitter for Android,0,[]
2021-05-19 23:47:18,"b'RT @sofyar_irfs2: Jaman Belanda ada sipitung,ambil harta Belanda bagi bagi kewong cilik,jaman simukidoy ada pejabat maling bansos uang wong\xe2\x80\xa6'",1395164189786734595,MuhammaD19s,3,Twitter for Android,1,[]
2021-05-19 23:46:56,"b'RT @HisyamMochtar: Lama2 koq jadi mikir, jangan2 kegaduhan beruntun itu emang by design. Tau sendirilah, heboh bipang saja belum benar2 red\xe2\x80\xa6'",1395164099340685312,Wak_Jhiwa,1026,Twitter for Android,1,[]
2021-05-19 23:46:56,"b'@JSikucing @jawafess haduh pisan ae ak nang bangjo kunu pokk,ndang bangjone suwe poll koyok antri bansos'",1395164096492802049,amyrotind,0,Twitter for Android,0,[]
2021-05-19 23:46:20,b'@nila_mrt Pamer... Pamer... Padahal belinya sebagian pake duit bansos \xf0\x9f\x98\x84\xf0\x9f\x98\x86',1395163948555456513,Setia_Guna,0,Twitter for Android,0,[]
2021-05-19 23:46:10,"b'RT @RamliRizal: Isu Taliban di KPK, Rizal Ramli: Mereka Profesional dan Memiliki Etika Kerja yang Bagus. 8 orang Kristen  dan 1 Hindu dari\xe2\x80\xa6'",1395163903999369221,PacinoAmy,854,Twitter for Android,1,[]
2021-05-19 23:46:09,"b'RT @RamliRizal: Isu Taliban di KPK, Rizal Ramli: Mereka Profesional dan Memiliki Etika Kerja yang Bagus. 8 orang Kristen  dan 1 Hindu dari\xe2\x80\xa6'",1395163902720155650,lanunatuna,854,Twitter for Android,1,[]
2021-05-19 23:45:58,"b'RT @rmol_id: Di Sidang Kasus Bansos, Jaksa KPK Ungkap Transfer Uang Rp 1 M Dari Office Boy Kemensos Ke Rekening Sespri Juliari Batubara htt\xe2\x80\xa6'",1395163854749933568,darmanwsp,335,Twitter for Android,1,[]
2021-05-19 23:45:46,"b'RT @NOTASLIMBOY: Gua coba-coba bikin paket sembako dengan budget pemerintah kmrn, utk dikasih ke tukang ojek. Untuk 300rb, jadinya mewah ba\xe2\x80\xa6'",1395163805135503361,trashytalkin,3896,Twitter for Android,1,[]
2021-05-19 23:45:43,"b'RT @RamliRizal: Isu Taliban di KPK, Rizal Ramli: Mereka Profesional dan Memiliki Etika Kerja yang Bagus. 8 orang Kristen  dan 1 Hindu dari\xe2\x80\xa6'",1395163791860506625,Kool36534689,854,Twitter for Android,1,[]
2021-05-19 23:45:36,"b'@jokowi Bangun trus termasuk hutang. Kami menolak lupa korupsi bansos, kami menolak lupa wadas, kami tidak terima kekerasan kepada sodara2 kami di ujung papua , kami menuntut keadilan di sila pancasila . Kami mengajukan mosi menolak lupa @jokowi'",1395163761217056770,Azhardzaiii,0,Twitter for Android,0,[]
2021-05-19 23:45:33,b'RT @msaid_didu: Malam ini ketemu mas Novel @nazaqistsha - angka korupsi bansos Rp 100 trilyun memang menarik https://t.co/0kteq5OsMo',1395163748243890178,agusmuda11,2817,Twitter for Android,1,[]
2021-05-19 23:45:22,"b'RT @RAMujiyono: Kelen khususnya wga Jakarta yg pengin tau info2 Jakarta, tinggal tanya mak gugel aja dgn klue yg kelen mau misalnya : Mujiy\xe2\x80\xa6'",1395163702035324932,60036782totok,34,Twitter for Android,1,[]
2021-05-19 23:45:20,"b'RT @RamliRizal: DR. Bima Yudhistira:\n""Korupsi Bansos Rp100 T, Ekonom Sebut Skandal Terburuk Sejak 1945"".\nPantes Banyak Pejabat ketakutan se\xe2\x80\xa6'",1395163696477863938,debrite,1193,Twitter for Android,1,[]
2021-05-19 23:45:17,b'RT @Joe66804633: @msaid_didu @nazaqistsha Menarik mmng betul? Tp ttp ada salah nya pak said didu?\nMaaf....kenapa setelah di ketahui tidak l\xe2\x80\xa6',1395163682624077827,EsJorong,2,Twitter for Android,1,[]
2021-05-19 23:45:16,b'RT @MardaniAliSera: MEGA KORUPSI INDONESIA\n1. Bansos\n2. Kondensat: 35 T\n3. Asabri: 23.7 T\n4. BPJS Tenaga Kerja : 20 T\n5. Jiwasraya: 16.8 T\xe2\x80\xa6',1395163678475833347,Gfatih008,2154,Twitter for Android,1,[]
